"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Argentina","Anise, badian, fennel, coriander",0.00195,44361150,462000,"Import_kg",711,"Anise; badian; fennel; coriander",161,185.64,8445.55,7653.78,24958.79,5.58,0,0,434.35,17.14,2.48,792.3,12752.59,0.5,39.52,245.72,0.18,0.16,1.64,0.27,292.59,168.23,1.46,449.8,5814.51,1403.66,0,0,5.32,3.6,0
"2","Argentina","Apples",0.121111111111111,44361150,213000,"Import_kg",515,"Apples",119,0.22,1.23,1.17,51.88,0,0,0,0,0,0,0.41,5.62,0,0,0,0,0,0,0,0.64,0,0,0.15,0,0.26,0,0,0.34,0,0
"3","Argentina","Asparagus",0.0845294117647059,44361150,31000,"Import_kg",367,"Asparagus",80,0,1.78,0.17,2.52,0,0,0,0,0,0,0.18,2.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","Argentina","Avocados",0.048,44361150,18016000,"Import_kg",572,"Avocados",141,123.25,1360.88,11919.28,3672.01,10.82,0,0,17.4,0.81,0.41,431.53,3708.68,0.18,5.58,143.62,0,0.12,1.17,0.26,12.01,25.59,0.12,2023.41,6719.82,1407.89,0,0,65.06,0.99,32.15
"5","Argentina","Bananas",0.04075,44361150,433273000,"Import_kg",486,"Bananas",117,2414.47,29139.06,5572.55,559515.09,255.17,0.88,0.45,236.13,19.15,3.95,8144.32,37477.19,2.21,152.12,607.91,1.28,1.21,20.41,8.36,234.89,679.09,6.47,2660.44,623.17,1354.19,0,0,1745.9,19.87,850.86
"6","Argentina","Barley",0.04775,44361150,11890000,"Import_kg",44,"Barley",3,193.17,5132.93,781.11,41849.95,0.37,0,0,31.29,4.37,1.42,144.54,4649.55,0.36,12.01,164.17,0.15,0,3,0.16,21.22,43.6,0.8,203.76,124.61,468.14,0,0,6.59,1.03,0
"7","Argentina","Beans, dry",0.1145,44361150,798000,"Import_kg",176,"Beans",30,5.18,334.51,21.57,911.23,0,0,0,2.2,0.11,0,18.37,194.85,0,0.25,6.08,0,0,0,0,1.73,2.72,0,4.86,2.16,7.47,0,0,0.18,0,0
"8","Argentina","Broad beans, horse beans, dry",0.052,44361150,31000,"Import_kg",181,"Broad beans; horse beans; dry",32,0.45,32.25,2.13,73.91,0,0,0,0.13,0,0,1.6,26.03,0,0,0.51,0,0,0,0,0.13,0.26,0,0.34,0.41,0.81,0,0,0,0,0
"9","Argentina","Carrots and turnips",0.0830718954248366,44361150,642000,"Import_kg",426,"Carrots and turnips",96,0.53,22.81,4.08,102.21,0.48,0,0,1.16,0,0,5.07,35.38,0,0.82,2.08,0,0,0,0,1.82,0.21,0,0.56,0.26,1.32,0,0,1.55,0,0.4
"10","Argentina","Cherries",0.1289,44361150,22000,"Import_kg",531,"Cherries",127,0,0.42,0,4.01,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","Argentina","Chick peas",0.04575,44361150,131000,"Import_kg",191,"Chick peas",33,2.27,125.5,32.49,376.42,0,0,0,0.88,0,0,5.22,49.27,0,0.13,2,0,0,0,0,0.95,0.64,0,3.98,8.8,17.17,0,0,0,0,0
"12","Argentina","Chillies and peppers, dry",4e-04,44361150,1450000,"Import_kg",689,"Pimento",156,1964.95,83741.03,72939.39,335339.01,616.41,5.55,0.45,1695.31,59.65,21.59,14888.59,181572.16,5.39,3707.85,1519.25,2.28,3.56,45.08,14.09,420.84,1254.34,17.79,21654.65,13905.28,50380.42,0,0,229.04,48.9,0
