"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Guinea","Bananas",0.04075,12414293,227516000,"Production_kg",486,"Bananas",117,4530.58,54677.24,10456.47,1049887.9,478.81,1.65,0.84,443.08,35.93,7.42,15282.19,70323.12,4.15,285.44,1140.71,2.4,2.27,38.29,15.7,440.75,1274.27,12.14,4992.12,1169.33,2541.04,0,0,3276.05,37.28,1596.58
"2","Guinea","Cashew nuts, with shell",0.0289438420348059,12414293,21329000,"Production_kg",217,"Cashew nuts; with shell",43,3230.52,109070.31,249825.55,143539.38,9.7,0,0.21,239.14,35.94,30.67,3861.35,15789.7,12.56,548.68,2792.88,3.17,0.91,7.75,2.58,0,1796.62,7.88,46199.72,141258.48,46567.75,0,0,59.02,13.55,166.21
"3","Guinea","Cassava",0.108277777777778,12414293,2145484000,"Production_kg",125,"Cassava",17,22199.87,291663.26,75762.22,4954932.95,5139.49,1.63,4.07,6222.63,194.33,54.27,60013.89,236224.9,15.96,1468.43,6290.14,9.94,8.89,91.57,14.05,3782.79,3351.84,61.29,13886.19,13966,7022.9,0,0,10028.07,224.35,3351.84
"4","Guinea","Cocoa, beans",0.0115,12414293,17342000,"Production_kg",661,"Cocoa Beans",153,2769.58,196008.65,502314.68,703328.01,0,0,0.39,1302.92,61.64,82.72,12189.8,449449.68,46.01,100.22,7124.2,2.06,2.4,22.43,1.43,145.77,6061.5,46.61,279600.22,193050.78,10446.67,0,0,47.13,48.32,0
"5","Guinea","Coconuts",0.04,12414293,59092000,"Production_kg/Import_kg",249,"Coconuts - Incl Copra",58,3778.25,39925.33,334916.8,149737.61,28.55,0,0.23,222.09,34.15,19.63,3890.31,76821.07,6.09,252.05,1252.41,0.75,0.38,8.05,0.49,143.99,344.9,44.62,355202.89,31683.73,8127.7,0,0,631.09,12.17,493.85
"6","Guinea","Coffee, green",0.00312,12414293,42268000,"Production_kg/Import_kg",656,"Coffee",152,20219.46,1233628.94,1627948.35,3950423.75,109.13,0.44,1.89,11244.88,377.06,57.91,242901.13,0,22.54,3881.13,31017.56,15.71,54.53,1210.01,2.54,4700.02,20390.24,41.58,3615.4,27115.51,1807.7,0,0,573.19,632.61,0
"7","Guinea","Fonio",0.0477,12414293,530227000,"Production_kg",94,"Fonio",10,31109.07,726234.88,206170.29,6627305.96,0,0,2.6,3325.19,577.58,218.41,25518.19,305163.49,39.29,858.79,15244.98,19.25,11.06,151.56,65.78,0,29398.35,0,0,0,0,0,0,987.19,164.6,0
"8","Guinea","Fruit, citrus nes",0.125066666666667,12414293,240644000,"Production_kg",512,"Citrus; Other",116,999.7,16971.71,4882.27,229389.32,547.12,0.4,0.26,950.62,11.68,2.94,2882.87,100745.31,1.47,100.75,139.49,1.01,0.99,3.25,0.56,130.19,309.99,2.09,1596.43,2386.89,2650.38,0,0,1297.48,7.85,108.49
"9","Guinea","Fruit, tropical fresh nes",0.1073859375,12414293,52689000,"Production_kg/Import_kg",603,"Fruit; tropical fresh; nes",146,370.16,5848.2,4725.56,82068.35,424.52,0.17,0,127.93,6.91,1.48,992.56,11489.13,0.44,38.76,142.05,1.09,1.16,4.15,0.61,31.3,111.19,0.87,2944.69,6512.66,1489.03,0,0,301.34,3.02,155.94
"10","Guinea","Groundnuts, with shell",0.028,12414293,957662000,"Production_kg",242,"Groundnuts (Shelled Eq)",54,151158.15,6491889.23,12096382.84,4691076.68,391.22,0.24,32.09,16503.47,973.06,767.13,191874.87,2289253.1,299.67,2826.84,107625.09,210.31,46.61,3948.65,148.89,38088.81,51665.96,404.17,1729906.84,6729527.7,4286333.9,0,0,2325.76,753.45,0
"11","Guinea","Maize",0.0869363057324841,12414293,873083000,"Production_kg/Import_kg",56,"Maize",4,28584.95,699183.21,276898.25,5838499.49,55.47,1.78,1.88,1687.93,263.24,145.16,23832.69,418956.52,14.6,756.02,17707.44,21.57,9.58,208.66,28.67,0,8871.78,19.62,47870.79,104175.1,195426.9,0,0,1008.06,101.55,0
"12","Guinea","Maize, green",0.101,12414293,296471000,"Production_kg",446,"Maize; green",98,2807.84,90944.48,29704,596444.49,196.25,0.33,0.99,291.17,28.73,13.36,5982.18,37831.96,1.28,694.37,3762.93,3.12,1.73,33.74,2.2,543.83,910.33,3.85,5793.02,9552.57,13532.81,0,0,1612.14,18.99,1111.31
"13","Guinea","Mangoes, mangosteens, guavas",0.09628125,12414293,172745000,"Production_kg",571,"Mangos; mangosteens; guavas",140,886.98,10857.31,3571.98,199388,1250.36,1.86,0.42,255.49,7.63,1.96,2597.45,38539.89,1.08,153.13,276.71,0.67,0.8,16.7,1.69,109.84,657.59,0.77,2208.34,1089.72,2433.79,0,0,1199.51,8.57,382.99
"14","Guinea","Melons, other (inc.cantaloupes)",0.179843076923077,12414293,2854000,"Production_kg/Import_kg",568,"Other melons (inc. cantaloupes)",111,3.64,69.18,19.44,822.48,2.97,0,0,1.95,0,0,32.69,87.66,0,1.55,2.1,0,0,0,0,0.97,1.38,0,4.86,0.34,7.63,0,0,11.82,0,6.09
"15","Guinea","Millet",0.0477,12414293,223220000,"Production_kg",79,"Millet",7,12941.56,349221.64,141850.92,2654278.9,10.28,0,1.25,2245.89,271.18,85.57,9772.32,209914.63,38.39,407.49,9482.88,11.11,4.5,90.46,36.23,28196.44,4966.56,41.1,27254.05,29138.84,80442.79,0,0,408.33,88.27,0
"16","Guinea","Nuts nes",0.0310679900238414,12414293,43000,"Production_kg/Import_kg",234,"Nuts; nes",51,6.18,161.55,486.59,352.63,0,0,0,1.36,0,0,5.25,41.85,0,0.4,5.63,0,0,0,0,0.54,2.24,0,134.29,363.95,229.87,0,0,0,0,0.61
"17","Guinea","Oil palm fruit",0.012,12414293,847533000,"Production_kg",254,"Palmkernel Oil",68,501221.03,0,56892285.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.78,0,0,46367212.58,6485720.53,910276.57,0,0,0,0,0
"18","Guinea","Pineapples",0.1096,12414293,139027000,"Production_kg",574,"Pineapples",120,483.04,4697.37,2170.92,112929.52,227.35,0,0.15,366.36,6.15,0.96,1639.38,8508.2,1.14,47.38,97.97,0.7,0.43,3.17,1.01,1668.09,120.91,9.47,199.25,270.78,613.08,0,0,890.14,3.28,418.94
"19","Guinea","Plantains and others",0.104,12414293,493057000,"Production_kg",489,"Plantains",118,4529.03,49646.1,14007.84,1083430.69,445.79,2.62,0.76,343.56,36.82,5.54,17176.6,58238.7,3.07,122.21,1238.48,6.89,4.83,24.42,11.44,515.56,1413,0,6167.57,1183.87,2463.21,0,0,2595.77,36.52,1317.53
"20","Guinea","Potatoes",0.133867924528302,12414293,163972000,"Production_kg/Import_kg",116,"Potatoes",18,791.23,20298.8,1341.02,176787.52,157.8,0,0.15,90.5,10.39,4.1,3690.3,13298.88,0.87,103.74,477.63,0.78,0.64,13.59,2.43,345.33,243.38,1.09,290.08,13.81,404.53,0,0,753.5,10.41,219.53
"21","Guinea","Pulses nes",0.0587825743767065,12414293,57161000,"Production_kg",211,"Pulses; nes",40,2937.66,177132.7,59970.95,427421.52,16.17,0,2.67,1501.22,82.12,37.06,8060.18,71274.3,12.77,213.05,2699.11,3.95,1.71,16.31,2.08,2757.22,2019.35,14.77,6799.06,12483.88,12726.7,0,0,89.78,26.25,109.66
"22","Guinea","Rice, paddy",0.0488821264103023,12414293,2599179000,"Production_kg/Import_kg",27,"Rice (Milled Equivalent)",2,151673.11,3184203.5,457001.81,33285629.89,14.83,0.45,8.14,14796.06,941.82,531.32,53661.27,715375.9,64.15,4010.75,66910.72,76.05,23.29,1432.22,95.34,0,24985.09,429.89,53753.63,77311,71957.06,0,0,5031.61,367.65,0
"23","Guinea","Rice, paddy (rice milled equivalent)",0.0488821264103023,12414293,2259998000,"Production_kg/Import_kg",30,"Rice (Milled Equivalent)",2,131880.46,2768679.47,397365.16,28942007.07,12.89,0.39,7.08,12865.24,818.92,461.98,46658.72,622022.61,55.78,3487.36,58179.17,66.13,20.25,1245.32,82.9,0,21724.65,373.79,46739.03,67222.27,62566.99,0,0,4375.01,319.68,0
"24","Guinea","Seed cotton",0.0307438953251282,12414293,43761000,"Production_kg",328,"Cottonseed",57,5406.15,302641.18,329585.93,392705.45,103.19,0.25,2.67,1479.09,61.92,68.8,15478.9,137590.23,13.76,286.65,9310.27,8.6,2.92,34.4,8.97,0,5044.98,25.01,111207.3,79332.23,207165.02,0,0,72.52,52.51,0
"25","Guinea","Sesame seed",0.0154423214285714,12414293,1836000,"Production_kg",289,"Sesameseed",59,548.41,18797.9,46407.87,15668.28,0,0,0.11,776.92,11.38,6.2,463.73,11444.74,2.3,37.69,575.52,0.7,0.31,4.46,0.57,24.52,333.29,1.17,7735.98,20889.77,22549.97,0,0,4.47,4.41,0
"26","Guinea","Sorghum",0.0326666666666667,12414293,62387000,"Production_kg",83,"Sorghum",8,5368.99,180592.68,53470.14,1097251.1,0,0,0.4,469.36,93.7,28.58,4787.59,51819.55,3.41,144.35,5518.91,4.96,1.76,50.72,3.69,0,3903.17,20.04,9384.2,17399.22,23968.16,0,0,155,32.38,0
"27","Guinea","Sugar cane",0.00989415983606557,12414293,311977000,"Production_kg",156,"Sugar Cane",25,71795.34,50798.59,8466.43,18311198.5,380.99,0,0,1777.95,154.09,5.08,3936.89,393689.07,2.03,507.99,592.65,2.54,3.68,12.7,0,0,253.99,6.35,0,0,0,0,0,6989.04,22.86,4656.54
"28","Guinea","Sweet potatoes",0.10804347826087,12414293,281700000,"Production_kg",122,"Sweet Potatoes",19,2305.17,27501.31,5060.96,530312.06,504.09,7.94,0.88,715.08,30.19,5.26,5440.2,47087.1,1.95,402.33,853.76,1.83,0.96,15.68,4.98,258.33,417.95,2.71,1666.18,287.03,2898.31,0,0,1486.71,21.44,477.8
"29","Guinea","Taro (cocoyam)",0.1,12414293,110042000,"Production_kg",136,"Taro (cocoyam)",22,809.95,17739.49,1378.87,181168.15,43.1,0,0.29,352.71,9.58,2.52,4549.81,22603.55,1.1,144.45,814.02,0.58,0.28,5.35,2.32,153.35,245.3,1.7,363.43,141.83,735.72,0,0,661.06,10.8,132.96
"30","Guinea","Vegetables, fresh nes",0.075156077445368,12414293,267555000,"Production_kg/Import_kg",463,"Vegetables; fresh; nes",101,1356.81,91512.11,19144.73,229298.16,1360.09,8.93,2.11,5677.82,117.59,16.06,11178.43,135588.84,4.61,1361.89,2266.55,2.62,5.7,29.49,6.26,626.63,1474.53,18.5,1964.64,1878.02,3743.17,0,0,2431.08,46.81,717.84
"31","Guinea","Yams",0.11,12414293,195818000,"Production_kg",137,"Yams",20,1540.53,28695.94,2640.85,350024.51,172.31,0,0.34,465.05,15.88,4.65,9765.29,31800.24,1.56,128.89,648.43,1.6,0.49,7.44,4.66,236.6,270.36,2.85,408.68,114.72,831.7,0,0,1024.24,14.98,229.43
